source_type,source_id,relation,target_type,target_id,detail,evidence_file,evidence_page
person,pp0013,approved award,tender,1016492,Member (Engineer),Contract_Awards_PDFs/Tender_1016492.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1016492.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1016492.pdf,1
tender,1016492,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1016492.pdf,1
company,co0028,was awarded,tender,1016870,170008.102,Contract_Awards_PDFs/Tender_1016870.pdf,1
organization,og0020,awarded contract to,company,co0028,170008.102,Contract_Awards_PDFs/Tender_1016870.pdf,1
person,pp0013,approved award,tender,1016870,Member (Engineer),Contract_Awards_PDFs/Tender_1016870.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1016870.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1016870.pdf,1
tender,1016870,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1016870.pdf,1
company,co0029,was awarded,tender,1023051,5380000.000,Contract_Awards_PDFs/Tender_1023051.pdf,1
organization,og0012,awarded contract to,company,co0029,5380000.000,Contract_Awards_PDFs/Tender_1023051.pdf,1
person,pp0004,approved award,tender,1023051,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023051.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023051.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023051.pdf,1
tender,1023051,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023051.pdf,1
company,co0030,was awarded,tender,1023052,10448400.407,Contract_Awards_PDFs/Tender_1023052.pdf,1
organization,og0012,awarded contract to,company,co0030,10448400.407,Contract_Awards_PDFs/Tender_1023052.pdf,1
person,pp0004,approved award,tender,1023052,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023052.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023052.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023052.pdf,1
tender,1023052,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023052.pdf,1
company,co0031,was awarded,tender,1023053,5389730.275,Contract_Awards_PDFs/Tender_1023053.pdf,1
organization,og0012,awarded contract to,company,co0031,5389730.275,Contract_Awards_PDFs/Tender_1023053.pdf,1
person,pp0004,approved award,tender,1023053,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023053.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023053.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023053.pdf,1
tender,1023053,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023053.pdf,1
company,co0032,was awarded,tender,1023054,2499992.210,Contract_Awards_PDFs/Tender_1023054.pdf,1
organization,og0012,awarded contract to,company,co0032,2499992.210,Contract_Awards_PDFs/Tender_1023054.pdf,1
person,pp0004,approved award,tender,1023054,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023054.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023054.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023054.pdf,1
tender,1023054,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023054.pdf,1
company,co0014,was awarded,tender,1023057,622304.036,Contract_Awards_PDFs/Tender_1023057.pdf,1
organization,og0012,awarded contract to,company,co0014,622304.036,Contract_Awards_PDFs/Tender_1023057.pdf,1
person,pp0004,approved award,tender,1023057,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023057.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023057.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023057.pdf,1
tender,1023057,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023057.pdf,1
company,co0011,was awarded,tender,1023060,4371342.068,Contract_Awards_PDFs/Tender_1023060.pdf,1
organization,og0012,awarded contract to,company,co0011,4371342.068,Contract_Awards_PDFs/Tender_1023060.pdf,1
person,pp0004,approved award,tender,1023060,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023060.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023060.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023060.pdf,1
tender,1023060,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023060.pdf,1
company,co0014,was awarded,tender,1023061,1978340.549,Contract_Awards_PDFs/Tender_1023061.pdf,1
organization,og0012,awarded contract to,company,co0014,1978340.549,Contract_Awards_PDFs/Tender_1023061.pdf,1
person,pp0004,approved award,tender,1023061,PD (Uttara Appartment),Contract_Awards_PDFs/Tender_1023061.pdf,1
organization,og0012,part of,organization,og0002,,Contract_Awards_PDFs/Tender_1023061.pdf,1
organization,og0002,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023061.pdf,1
tender,1023061,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023061.pdf,1
company,co0033,was awarded,tender,1023333,11731574.383,Contract_Awards_PDFs/Tender_1023333.pdf,1
organization,og0021,awarded contract to,company,co0033,11731574.383,Contract_Awards_PDFs/Tender_1023333.pdf,1
person,pp0006,approved award,tender,1023333,Executive Engineer,Contract_Awards_PDFs/Tender_1023333.pdf,1
organization,og0021,part of,organization,og0009,,Contract_Awards_PDFs/Tender_1023333.pdf,1
organization,og0009,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1023333.pdf,1
tender,1023333,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1023333.pdf,1
company,co0034,was awarded,tender,1024374,865887.789,Contract_Awards_PDFs/Tender_1024374.pdf,1
organization,og0020,awarded contract to,company,co0034,865887.789,Contract_Awards_PDFs/Tender_1024374.pdf,1
person,pp0013,approved award,tender,1024374,Member (Engineer),Contract_Awards_PDFs/Tender_1024374.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024374.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1024374.pdf,1
tender,1024374,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1024374.pdf,1
company,co0035,was awarded,tender,1024391,1350000.001,Contract_Awards_PDFs/Tender_1024391.pdf,1
organization,og0020,awarded contract to,company,co0035,1350000.001,Contract_Awards_PDFs/Tender_1024391.pdf,1
person,pp0013,approved award,tender,1024391,Member (Engineer),Contract_Awards_PDFs/Tender_1024391.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024391.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1024391.pdf,1
tender,1024391,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1024391.pdf,1
company,co0036,was awarded,tender,1024467,784699.145,Contract_Awards_PDFs/Tender_1024467.pdf,1
organization,og0020,awarded contract to,company,co0036,784699.145,Contract_Awards_PDFs/Tender_1024467.pdf,1
person,pp0013,approved award,tender,1024467,Member (Engineer),Contract_Awards_PDFs/Tender_1024467.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024467.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1024467.pdf,1
tender,1024467,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1024467.pdf,1
company,co0028,was awarded,tender,1024517,994560.567,Contract_Awards_PDFs/Tender_1024517.pdf,1
organization,og0020,awarded contract to,company,co0028,994560.567,Contract_Awards_PDFs/Tender_1024517.pdf,1
person,pp0013,approved award,tender,1024517,Member (Engineer),Contract_Awards_PDFs/Tender_1024517.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024517.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1024517.pdf,1
tender,1024517,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1024517.pdf,1
company,co0037,was awarded,tender,1024525,481950.477,Contract_Awards_PDFs/Tender_1024525.pdf,1
organization,og0020,awarded contract to,company,co0037,481950.477,Contract_Awards_PDFs/Tender_1024525.pdf,1
person,pp0013,approved award,tender,1024525,Member (Engineer),Contract_Awards_PDFs/Tender_1024525.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024525.pdf,1
organization,og0020,part of,organization,og0001,,Contract_Awards_PDFs/Tender_1024525.pdf,1
tender,1024525,belongs to project,project,pr0003,,Contract_Awards_PDFs/Tender_1024525.pdf,1
company,co0038,was awarded,tender,1024787,889500.456,Contract_Awards_PDFs/Tender_1024787.pdf,1
organization,og0020,awarded contract to,company,co0038,889500.456,Contract_Awards_PDFs/Tender_1024787.pdf,1
person,pp0013,approved award,tender,1024787,Member (Engineer),Contract_Awards_PDFs/Tender_1024787.pdf,1
organization,og0020,part of,organization,og0020,,Contract_Awards_PDFs/Tender_1024787.pdf,1
