tender_id,source_file,page,amendment_no,amendment_no_printed,changed_fields,changed_field_count,eligibility_changed,has_change_table,notice_text
815786,Tender Notice_PDFs/CDA_Tender_815786.pdf,2,1,1,Closing Date & Time;Completion Date(Lot No : 01);Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Meeting End Date & Time;Opening Date & Time;Start Date(Lot No : 01),8,yes,yes,Amendment in eligibility.
993983,Tender Notice_PDFs/CDA_Tender_993983.pdf,2,1,1,Closing Date & Time;Completion Date(Lot No : 1);Document last selling date & time;Eligibility of Consultant 1 2 3 4 5 6 7;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),7,yes,yes,Considering the current situation of the state
993988,Tender Notice_PDFs/CDA_Tender_993988.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant 1 2 3 4 5 6 7 8 9 10;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;TDS/PDS--A. General--;TDS/PDS--A. General-- 1 2 3 4 5 6 7 8 9;TDS/PDS--B. Tender Document--;TDS/PDS--D. Tender Preparation--;TDS/PDS--E. e-Tender Submission--,10,yes,yes,Change in different content
993999,Tender Notice_PDFs/CDA_Tender_993999.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant 1 2 3 4 5 6 7 8 9 10;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;TDS/PDS--A. General--;TDS/PDS--A. General-- 1 2 3 4 5 6 7 8 9;TDS/PDS--B. Tender Document--,8,yes,yes,Change in different content
995096,Tender Notice_PDFs/CDA_Tender_995096.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Eligibility of Consultant 1 2 3 4 5 6 7 8 9 10;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1);TDS/PDS--A. General--;TDS/PDS--A. General-- 1 2 3 4 5 6 7 8 9;TDS/PDS--B. Tender Document--;TDS/PDS--D. Tender Preparation--,10,yes,yes,Change in different content
1024391,Tender Notice_PDFs/COXDA_Tender_1024391.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,5,yes,yes,Updating of Experience Criteria
1183753,Tender Notice_PDFs/COXDA_Tender_1183753.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Extension of Tender Submission Deadline.
509251,Tender Notice_PDFs/COXDA_Tender_509251.pdf,2,2,2,Eligibility of Consultant,1,yes,yes,Change in Tender Notice
549299,Tender Notice_PDFs/COXDA_Tender_549299.pdf,2,1,1,Eligibility of Consultant,1,yes,yes,Addition to Particular Specifications
549431,Tender Notice_PDFs/COXDA_Tender_549431.pdf,2,1,1,Eligibility of Consultant,1,yes,yes,Addition to Particular Specifications
563563,Tender Notice_PDFs/COXDA_Tender_563563.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1);Tender/Proposal Security (Amount in BDT)(Lot No : 1),6,no,yes,Tender Security Date Correction
827087,Tender Notice_PDFs/COXDA_Tender_827087.pdf,2,1,"1 In order to ensure more competition in tender,TDS Clause 9.1 needs to be changed as follows",Eligibility of Consultant,1,yes,yes,A satisfactory completion of similar works of at least Tk 5.00 (Five) lac under 1.00 (One) of contract(s) over a period of 3 (Three) years shall be required.
916128,Tender Notice_PDFs/COXDA_Tender_916128.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Eligibility of Consultant;Last date & time for Tender/Proposal Security Submission;Meeting End Date & Time;Meeting Start Date & Time;Opening Date & Time,7,yes,yes,extention of opening date.
925146,Tender Notice_PDFs/COXDA_Tender_925146.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Meeting End Date & Time;Opening Date & Time,5,no,yes,Regarding last 3 days being bank holiday and extension of tender security submission time to get competitive bids
963968,Tender Notice_PDFs/COXDA_Tender_963968.pdf,2,1,1,,0,no,yes,Technical Specifications and Compliance of Goods and related services (Form e-PG2-3) has been updated.
971720,Tender Notice_PDFs/COXDA_Tender_971720.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,Extending submission deadline to increase competition.
971832,Tender Notice_PDFs/COXDA_Tender_971832.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time;Start Date(Lot No : 1),5,no,yes,Tender Security Submission Last date needs to be changed.
1251658,Tender Notice_PDFs/GDA_Tender_1251658.pdf,2,1,1,,0,no,yes,corrigendum -1
1251756,Tender Notice_PDFs/GDA_Tender_1251756.pdf,2,2,2,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,for change in boq
1253316,Tender Notice_PDFs/GDA_Tender_1253316.pdf,2,1,1,Closing Date & Time;Document last selling date & time;Last date & time for Tender/Proposal Security Submission;Opening Date & Time,4,no,yes,for more competition.
1253428,Tender Notice_PDFs/GDA_Tender_1253428.pdf,2,1,1,Document last selling date & time;Opening Date & Time,2,no,yes,for more competition.
