tender_id,clause_no,source_file,page,source_field,printed_label,text,chars,categories,defers_to_another_document,money_taka,money_original,money_words,money_scale_words,money_reading,money_unresolved,years,contract_counts,percentages
590668,1,Tender Notice_PDFs/RAJUK_Tender_590668.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
591292,1,Tender Notice_PDFs/RAJUK_Tender_591292.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
591374,1,Tender Notice_PDFs/RAJUK_Tender_591374.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
591591,1,Tender Notice_PDFs/RAJUK_Tender_591591.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
591741,1,Tender Notice_PDFs/RAJUK_Tender_591741.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
592175,1,Tender Notice_PDFs/RAJUK_Tender_592175.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
592354,1,Tender Notice_PDFs/RAJUK_Tender_592354.pdf,1,eligibility,Eligibility of Tenderer,As Per TDS.,11,deferred,yes,,,,,,,,,
595833,1,Tender Notice_PDFs/RAJUK_Tender_595833.pdf,1,eligibility,Eligibility of Tenderer,As per tender documents.,24,deferred,yes,,,,,,,,,
597090,1,Tender Notice_PDFs/RAJUK_Tender_597090.pdf,1,eligibility,Eligibility of Tenderer,This invitation for Tender is open to all eligible Reputed Supplier/Tenderer as mentioned below as further detailed in the Tender Data Sheet (TDS) of the Tender Document. a) The minimum number of years of general experience of the Supplier/Tenderer in the electro-mechanical works shall be five,294,experience_general,no,,,,,,,,,
597090,2,Tender Notice_PDFs/RAJUK_Tender_597090.pdf,1,eligibility,Eligibility of Tenderer,(05) years. b) The minimum specific experience of the Supplier/Tenderer at least 01 (One) contract of similar nature of works (Internal Electrification and Fire Fighting Works of Building Construction) successfully completed within the last five,245,experience_similar;experience_count,no,,,,,,,5,1,
